7126 14226
7127 14528 1.0
7127 15368 1.0
7127 16331 1.0
7127 16332 1.0
7127 16393 1.0
7680 8252 1.0
7680 8585 1.0
7680 10134 1.0
7680 10279 1.0
7680 12516 1.0
7680 14528 1.0
7680 15368 1.0
7680 16331 1.0
7680 16332 1.0
7680 16393 1.0
8252 8585 1.0
8252 10134 1.0
8252 10279 1.0
8252 12516 1.0
8252 14528 1.0
8252 15368 1.0
8252 16331 1.0
8252 16332 1.0
8252 16393 1.0
8585 10134 1.0
8585 10279 1.0
8585 12516 1.0
8585 14528 1.0
8585 15368 1.0
8585 16331 1.0
8585 16332 1.0
8585 16393 1.0
10134 10279 1.0
10134 12516 1.0
10134 14528 1.0
10134 15368 1.0
10134 16331 1.0
10134 16332 1.0
10134 16393 1.0
10279 12516 1.0
10279 14528 1.0
10279 15368 1.0
10279 16331 1.0
10279 16332 1.0
10279 16393 1.0
12516 14528 1.0
12516 15368 1.0
12516 16331 1.0
12516 16332 1.0
12516 16393 1.0
14528 15368 1.0
14528 16331 1.0
14528 16332 1.0
14528 16393 1.0
15368 16331 1.0
15368 16332 1.0
15368 16393 1.0
16331 16332 1.0
16331 16393 1.0
16332 16393 1.0
13404 13406 1.0
13404 1010 1.0
13404 2635 1.0
13404 7129 1.0
13404 9847 1.0
13404 9970 1.0
13404 10299 1.0
13404 11392 1.0
13404 12199 1.0
13404 12325 1.0
13404 12619 1.0
13404 13051 1.0
13404 16743 1.0
13404 17769 1.0
13142 3600 1.0
13142 4077 1.0
13142 4980 1.0
13142 17321 1.0
13142 17327 1.0
13142 17496 1.0
10177 11272 1.0
10177 11767 1.0
10177 12445 1.0
10177 17138 1.0
10177 17321 1.0
11272 11767 1.0
11272 12445 1.0
11272 17138 1.0
11272 17321 1.0
11767 12445 1.0
11767 17138 1.0
11767 17321 1.0
12445 17138 1.0
12445 17321 1.0
17138 17321 1.0
17138 4966 1.0
17138 6107 1.0
17138 10623 1.0
17138 12609 1.0
17138 14798 1.0
17321 3600 1.0
17321 4077 1.0
17321 4980 2.0
17321 17327 1.0
17321 17496 1.0
17321 889 1.0
17321 6569 1.0
17321 7291 1.0
14192 14608 1.0
14192 15048 1.0
14608 15048 1.0
11184 20081 1.0
11184 7564 5.0
11184 8307 1.0
11184 14565 1.0
11184 17911 1.0
11184 5510 3.0
11184 12026
11184 4980 1.0
11184 2480 1.0
11184 2510 2.0
11184 4282 1.0
11184 10737 1.0
11184 18646 1.0
11184 18651 1.0
11184 18652 1.0
11184 18653 1.0
11184 18654 1.0
11184 18655 1.0
11184 18657 1.0
11184 18664 1.0
11184 18665 1.0
11184 19814 1.0
11184 20780 1.0
4966 6107 1.0
4966 10623 1.0
4966 12609 1.0
4966 14798 1.0
6107 10623 1.0
6107 12609 1.0
6107 14798 1.0
10623 12609 1.0
10623 14798 1.0
10623 7965
12609 14798 1.0
3994 8872 1.0
3994 9554 2.0
3994 13406 1.0
3994 10115 1.0
8872 9554 1.0
8872 13406 1.0
9554 13406 1.0
9554 6734
9554 14460 1.0
9554 2328
9554 2480 1.0
9554 5455 1.0
9554 6595 1.0
9554 11791 1.0
9554 15221 1.0
9554 17483 1.0
9554 19505 1.0
9554 5191 1.0
9554 12283 1.0
9554 12884 1.0
9554 2030 1.0
9554 3910 1.0
9554 10032 1.0
9554 10035 1.0
9554 10076 1.0
9554 16288 1.0
9554 16289 1.0
9554 16290 1.0
9554 9559 1.0
9554 14118 1.0
11423 15471 1.0
11423 22325 1.0
15471 22325 1.0
2852 3871 1.0
2852 10288 1.0
2852 10668 1.0
2852 13383 1.0
2852 14354 1.0
3871 10288 1.0
3871 10668 1.0
3871 13383 1.0
3871 14354 1.0
10288 10668 1.0
10288 13383 1.0
10288 14354 1.0
10668 13383 1.0
10668 14354 1.0
13383 14354 1.0
14354 4316 1.0
14354 9730 1.0
14354 15453 1.0
14354 15899 1.0
14354 16209 1.0
14354 16396 1.0
14354 22580 1.0
2480 18014 1.0
2480 22702 1.0
2480 14460 1.0
2480 19815 2.0
2480 7515
2480 5455 1.0
2480 6595 1.0
2480 11791 1.0
2480 15221 1.0
2480 17483 1.0
2480 19505 1.0
2480 7429 1.0
2480 9158 1.0
2480 12024 1.0
2480 2510 1.0
2480 4282 1.0
2480 10737 1.0
2480 18646 1.0
2480 18651 1.0
2480 18652 1.0
2480 18653 1.0
2480 18654 1.0
2480 18655 1.0
2480 18657 1.0
2480 18664 1.0
2480 18665 1.0
2480 19814 1.0
18014 22702 1.0
4687 4834 1.0
4687 5666 1.0
4687 6379 1.0
4687 16182 1.0
4687 17390 1.0
4834 5666 1.0
4834 6379 1.0
4834 16182 1.0
4834 17390 1.0
5666 6379 1.0
5666 16182 1.0
5666 17390 1.0
6379 16182 1.0
6379 17390 1.0
16182 17390 1.0
460 4029 1.0
460 5056 1.0
3020 14107 1.0
14460 19815 1.0
6782 6367 1.0
9180 11741 2.0
11741 12041 1.0
11741 12072 1.0
2912 12024 1.0
12024 13366 1.0
12024 7429 1.0
12024 9158 1.0
8237 11238 1.0
8237 14405 1.0
11238 14405 1.0
3600 4077 1.0
3600 4980 1.0
3600 17327 1.0
3600 17496 1.0
3600 64 1.0
4077 4980 1.0
4077 17327 1.0
4077 17496 1.0
4980 17327 1.0
4980 17496 2.0
4980 3377 1.0
4980 5031 1.0
4980 8142 1.0
4980 9549 1.0
4980 5510 1.0
4980 7564 1.0
17327 17496 1.0
17496 3377 1.0
17496 5031 1.0
17496 8142 1.0
17496 9549 1.0
12582 13210 1.0
12582 13953 1.0
12582 14050 1.0
13210 13953 1.0
13210 14050 1.0
13953 14050 1.0
3377 5031 1.0
3377 8142 1.0
3377 9549 1.0
5031 8142 1.0
5031 9549 1.0
8142 9549 1.0
575 6936 1.0
575 8164 1.0
575 12728 1.0
575 13154 1.0
6936 8164 1.0
6936 12728 1.0
6936 13154 1.0
8164 12728 1.0
8164 13154 1.0
12728 13154 1.0
4174 18456 1.0
7564 8307 1.0
7564 14565 1.0
7564 5510 4.0
7564 17911 1.0
8307 14565 1.0
12041 12072 1.0
1659 2132 1.0
1659 13109 1.0
1659 15842 1.0
2132 13109 1.0
2132 15842 1.0
13109 15842 1.0
15842 11781 1.0
15842 16125 1.0
2510 4282 1.0
2510 10737 1.0
2510 18646 1.0
2510 18651 1.0
2510 18652 1.0
2510 18653 1.0
2510 18654 1.0
2510 18655 1.0
2510 18657 1.0
2510 18664 1.0
2510 18665 1.0
2510 19814 1.0
2510 20780 1.0
4029 5056 1.0
11781 16125 1.0
1935 7860 1.0
1935 8167 1.0
1935 15019 1.0
7860 8167 1.0
7860 15019 1.0
8167 15019 1.0
4846 14641 2.0
4846 16428 2.0
14641 16428 2.0
889 6569 1.0
889 7291 1.0
4825 7129 1.0
4825 14023 1.0
4825 15236 1.0
4825 18922 1.0
4825 19431 1.0
4825 22246 1.0
4825 22590 1.0
4825 23073 1.0
7129 14023 1.0
7129 15236 1.0
7129 18922 1.0
7129 19431 1.0
7129 22246 1.0
7129 22590 1.0
7129 23073 1.0
7129 1010 1.0
7129 2635 1.0
7129 9847 1.0
7129 9970 1.0
7129 10299 1.0
7129 11392 1.0
7129 12199 1.0
7129 12325 1.0
7129 12619 1.0
7129 13051 1.0
7129 16743 1.0
7129 17769 1.0
14023 15236 1.0
14023 18922 1.0
14023 19431 1.0
14023 22246 1.0
14023 22590 1.0
14023 23073 1.0
15236 18922 1.0
15236 19431 1.0
15236 22246 1.0
15236 22590 1.0
15236 23073 1.0
18922 19431 1.0
18922 22246 1.0
18922 22590 1.0
18922 23073 1.0
19431 22246 1.0
19431 22590 1.0
19431 23073 1.0
22246 22590 1.0
22246 23073 1.0
22590 23073 1.0
2077 4804 1.0
2077 15107 1.0
4804 15107 1.0
6569 7291 1.0
4316 9730 1.0
4316 15453 1.0
4316 15899 1.0
4316 16209 1.0
4316 16396 1.0
4316 22580 1.0
9730 15453 1.0
9730 15899 1.0
9730 16209 1.0
9730 16396 1.0
9730 22580 1.0
15453 15899 1.0
15453 16209 1.0
15453 16396 1.0
15453 22580 1.0
15899 16209 1.0
15899 16396 1.0
15899 22580 1.0
16209 16396 1.0
16209 22580 1.0
16396 22580 1.0
10662 706 1.0
10662 7019 1.0
10662 7296 1.0
1060 20178
1060 13203
6127 12195 1.0
6127 18279 1.0
6127 18768 1.0
6127 22150 1.0
6127 23101 1.0
12195 18279 1.0
12195 18768 1.0
12195 22150 1.0
12195 23101 1.0
18279 18768 1.0
18279 22150 1.0
18279 23101 1.0
18768 22150 1.0
18768 23101 1.0
22150 23101 1.0
19375 19532 1.0
19375 19535 1.0
19532 19535 1.0
706 7019 1.0
706 7296 1.0
7019 7296 1.0
7204 10427 1.0
7204 20525 1.0
10427 20525 1.0
5455 6595 1.0
5455 11791 1.0
5455 15221 1.0
5455 17483 1.0
5455 19505 1.0
6595 11791 1.0
6595 15221 1.0
6595 17483 1.0
6595 19505 1.0
11791 15221 1.0
11791 17483 1.0
11791 19505 1.0
15221 17483 1.0
15221 19505 1.0
17483 19505 1.0
7429 9158 1.0
64 70 1.0
64 5187 1.0
70 5187 1.0
98 101 1.0
98 2416 1.0
98 16528 1.0
101 2416 1.0
101 16528 1.0
2416 16528 1.0
2684 7839 1.0
2684 9967 1.0
2684 13995 1.0
7839 9967 1.0
7839 13995 1.0
9967 13995 1.0
1010 2635 1.0
1010 9847 1.0
1010 9970 1.0
1010 10299 1.0
1010 11392 1.0
1010 12199 1.0
1010 12325 1.0
1010 12619 1.0
1010 13051 1.0
1010 16743 1.0
1010 17769 1.0
2635 9847 1.0
2635 9970 1.0
2635 10299 1.0
2635 11392 1.0
2635 12199 1.0
2635 12325 1.0
2635 12619 1.0
2635 13051 1.0
2635 16743 1.0
2635 17769 1.0
9847 9970 1.0
9847 10299 1.0
9847 11392 1.0
9847 12199 1.0
9847 12325 1.0
9847 12619 1.0
9847 13051 1.0
9847 16743 1.0
9847 17769 1.0
9970 10299 1.0
9970 11392 1.0
9970 12199 1.0
9970 12325 1.0
9970 12619 1.0
9970 13051 1.0
9970 16743 1.0
9970 17769 1.0
10299 11392 1.0
10299 12199 1.0
10299 12325 1.0
10299 12619 1.0
10299 13051 1.0
10299 16743 1.0
10299 17769 1.0
11392 12199 1.0
11392 12325 1.0
11392 12619 1.0
11392 13051 1.0
11392 16743 1.0
11392 17769 1.0
12199 12325 1.0
12199 12619 1.0
12199 13051 1.0
12199 16743 1.0
12199 17769 1.0
12325 12619 1.0
12325 13051 1.0
12325 16743 1.0
12325 17769 1.0
12619 13051 1.0
12619 16743 1.0
12619 17769 1.0
13051 16743 1.0
13051 17769 1.0
16743 17769 1.0
3908 9331 1.0
3908 14087 1.0
9331 14087 1.0
1780 17096 1.0
1780 22595 1.0
1780 23352 1.0
1780 23353 1.0
1780 23389 1.0
17096 22595 1.0
17096 23352 1.0
17096 23353 1.0
17096 23389 1.0
22595 23352 1.0
22595 23353 1.0
22595 23389 1.0
23352 23353 1.0
23352 23389 1.0
23353 23389 1.0
5191 12283 1.0
5191 12884 1.0
12283 12884 1.0
4282 10737 1.0
4282 18646 1.0
4282 18651 1.0
4282 18652 1.0
4282 18653 1.0
4282 18654 1.0
4282 18655 1.0
4282 18657 1.0
4282 18664 1.0
4282 18665 1.0
4282 19814 1.0
10737 18646 1.0
10737 18651 1.0
10737 18652 1.0
10737 18653 1.0
10737 18654 1.0
10737 18655 1.0
10737 18657 1.0
10737 18664 1.0
10737 18665 1.0
10737 19814 1.0
10737 15234
18646 18651 1.0
18646 18652 1.0
18646 18653 1.0
18646 18654 1.0
18646 18655 1.0
18646 18657 1.0
18646 18664 1.0
18646 18665 1.0
18646 19814 1.0
18651 18652 1.0
18651 18653 1.0
18651 18654 1.0
18651 18655 1.0
18651 18657 1.0
18651 18664 1.0
18651 18665 1.0
18651 19814 1.0
18652 18653 1.0
18652 18654 1.0
18652 18655 1.0
18652 18657 1.0
18652 18664 1.0
18652 18665 1.0
18652 19814 1.0
18653 18654 1.0
18653 18655 1.0
18653 18657 1.0
18653 18664 1.0
18653 18665 1.0
18653 19814 1.0
18654 18655 1.0
18654 18657 1.0
18654 18664 1.0
18654 18665 1.0
18654 19814 1.0
18655 18657 1.0
18655 18664 1.0
18655 18665 1.0
18655 19814 1.0
18657 18664 1.0
18657 18665 1.0
18657 19814 1.0
18664 18665 1.0
18664 19814 1.0
18665 19814 1.0
5496 7968 1.0
5496 16498 1.0
7968 16498 1.0
2030 3910 1.0
2030 10032 1.0
2030 10035 1.0
2030 10076 1.0
2030 16288 1.0
2030 16289 1.0
2030 16290 1.0
3910 10032 1.0
3910 10035 1.0
3910 10076 1.0
3910 16288 1.0
3910 16289 1.0
3910 16290 1.0
10032 10035 1.0
10032 10076 1.0
10032 16288 1.0
10032 16289 1.0
10032 16290 1.0
10035 10076 1.0
10035 16288 1.0
10035 16289 1.0
10035 16290 1.0
10076 16288 1.0
10076 16289 1.0
10076 16290 1.0
16288 16289 1.0
16288 16290 1.0
16289 16290 1.0
9559 14118 1.0
10139 12680 1.0
19074 19473 1.0
19074 19702 1.0
19074 20376 1.0
19074 20438 1.0
19074 22233 1.0
19074 22629 1.0
19473 19702 1.0
19473 20376 1.0
19473 20438 1.0
19473 22233 1.0
19473 22629 1.0
19702 20376 1.0
19702 20438 1.0
19702 22233 1.0
19702 22629 1.0
20376 20438 1.0
20376 22233 1.0
20376 22629 1.0
20438 22233 1.0
20438 22629 1.0
22233 22629 1.0
